branch,AA,AC,AD,AE,AF,AG,AH,AI,AK,AL,AM,AN,AP,AQ,AR,AS,AT,AV,AW,AY,CA,CC,CD,CE,CF,CG,CH,CI,CK,CL,CM,CN,CP,CQ,CR,CS,CT,CV,CW,CY,DA,DC,DD,DE,DF,DG,DH,DI,DK,DL,DM,DN,DP,DQ,DR,DS,DT,DV,DW,DY,EA,EC,ED,EE,EF,EG,EH,EI,EK,EL,EM,EN,EP,EQ,ER,ES,ET,EV,EW,EY,FA,FC,FD,FE,FF,FG,FH,FI,FK,FL,FM,FN,FP,FQ,FR,FS,FT,FV,FW,FY,GA,GC,GD,GE,GF,GG,GH,GI,GK,GL,GM,GN,GP,GQ,GR,GS,GT,GV,GW,GY,HA,HC,HD,HE,HF,HG,HH,HI,HK,HL,HM,HN,HP,HQ,HR,HS,HT,HV,HW,HY,IA,IC,ID,IE,IF,IG,IH,II,IK,IL,IM,IN,IP,IQ,IR,IS,IT,IV,IW,IY,KA,KC,KD,KE,KF,KG,KH,KI,KK,KL,KM,KN,KP,KQ,KR,KS,KT,KV,KW,KY,LA,LC,LD,LE,LF,LG,LH,LI,LK,LL,LM,LN,LP,LQ,LR,LS,LT,LV,LW,LY,MA,MC,MD,ME,MF,MG,MH,MI,MK,ML,MM,MN,MP,MQ,MR,MS,MT,MV,MW,MY,NA,NC,ND,NE,NF,NG,NH,NI,NK,NL,NM,NN,NP,NQ,NR,NS,NT,NV,NW,NY,PA,PC,PD,PE,PF,PG,PH,PI,PK,PL,PM,PN,PP,PQ,PR,PS,PT,PV,PW,PY,QA,QC,QD,QE,QF,QG,QH,QI,QK,QL,QM,QN,QP,QQ,QR,QS,QT,QV,QW,QY,RA,RC,RD,RE,RF,RG,RH,RI,RK,RL,RM,RN,RP,RQ,RR,RS,RT,RV,RW,RY,SA,SC,SD,SE,SF,SG,SH,SI,SK,SL,SM,SN,SP,SQ,SR,SS,ST,SV,SW,SY,TA,TC,TD,TE,TF,TG,TH,TI,TK,TL,TM,TN,TP,TQ,TR,TS,TT,TV,TW,TY,VA,VC,VD,VE,VF,VG,VH,VI,VK,VL,VM,VN,VP,VQ,VR,VS,VT,VV,VW,VY,WA,WC,WD,WE,WF,WG,WH,WI,WK,WL,WM,WN,WP,WQ,WR,WS,WT,WV,WW,WY,YA,YC,YD,YE,YF,YG,YH,YI,YK,YL,YM,YN,YP,YQ,YR,YS,YT,YV,YW,YY
Acipenser#N1,75658,24,115,294,12,610,12,45,35,76,35,53,466,47,23,1542,1190,947,3,3,37,14184,5,3,88,69,16,9,4,25,1,22,5,9,88,451,22,21,21,131,114,4,55330,2953,2,228,74,6,21,8,1,531,14,43,4,92,25,25,0,23,268,2,2940,88634,1,289,22,8,304,19,13,53,14,686,26,57,45,130,1,7,12,87,0,2,34716,3,21,156,1,754,16,5,7,3,1,88,6,93,12,921,618,63,252,318,4,50256,7,7,34,20,5,113,20,32,173,621,45,124,10,1,13,14,74,37,21,7,24396,5,33,118,1,338,108,779,325,44,10,5,0,349,55,13,8,9,150,13,3,60537,44,1151,517,46,16,4,23,69,303,2755,1,10,35,5,27,316,0,36,25,34,80398,24,75,390,33,560,1994,115,220,16,2,3,76,33,8,24,744,17,103,1133,25,104115,1013,13,249,423,115,177,77,1189,54,56,37,2,1,17,15,5,2,525,83,1041,26243,9,16,38,38,23,221,430,2,1,47,24,547,58,7,111,337,42,417,15,9,42952,25,59,58,1129,295,13,0,65,420,5,12,17,7,16,89,13,33,213,14,19,49630,275,46,609,239,30,0,5,39,9,45,716,2,26,728,2,581,413,33,50,271,54588,553,45,51,28,2,10,26,78,6,32,3,178,321,17,2047,112,38,61,50,557,54954,174,82,13,35,12,1577,442,101,60,92,636,46,54,137,146,26,1184,645,53,185,95680,1749,70,10,89,1244,19,26,54,8,49,9,269,255,90,219,306,264,59,94,1749,60194,175,1,6,978,22,23,145,94,144,6,2786,20,1197,384,17,39,34,11,77,181,80733,3,13,4,23,0,3,11,14,0,0,1,39,3,0,1,2,41,10,1,3,5202,19,5,119,25,6,918,2,349,12,5,53,1,62,7,12,10,86,7,8,23,29994
Alligator#N65,93451,0,1,8,1,8,0,0,0,0,1,0,4,0,0,19,64,46,0,0,0,17352,0,0,2,2,0,0,0,1,0,1,0,0,4,6,0,0,0,2,1,0,62379,20,1,8,2,0,0,0,1,18,1,0,0,3,0,5,0,2,10,0,40,97572,1,10,0,0,22,1,0,0,0,16,1,1,1,4,0,0,0,2,0,0,39700,0,0,4,0,18,0,0,0,0,0,1,0,2,0,5,9,4,8,11,0,56810,0,0,0,0,0,1,0,0,12,16,0,3,0,0,0,0,0,0,0,0,30857,0,0,0,0,3,0,9,23,0,0,0,0,10,0,0,0,0,2,0,0,74718,0,12,14,0,0,0,0,1,14,70,0,0,0,0,0,14,0,1,0,3,89097,0,1,10,0,10,47,0,6,0,0,0,0,0,0,0,15,0,1,12,2,118191,11,0,4,3,2,4,1,17,1,1,0,0,0,0,0,0,0,17,1,14,31509,0,0,0,0,0,12,24,0,0,0,0,14,0,0,0,9,1,8,1,0,52876,0,1,0,45,10,0,0,1,7,0,0,0,0,0,5,0,0,16,0,0,56437,0,1,38,8,1,0,0,0,0,0,9,0,1,15,0,7,9,0,0,4,63263,26,0,0,0,0,0,0,9,0,1,0,8,24,0,20,0,0,0,0,30,63426,4,1,0,1,0,9,8,0,0,11,13,1,2,0,14,0,33,6,0,5,111099,17,0,1,1,45,0,0,0,0,2,0,25,6,1,22,1,3,0,3,19,73941,3,0,0,29,1,0,3,0,2,0,56,0,15,22,0,0,1,0,0,0,92204,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,5968,0,0,3,0,0,11,0,10,0,0,0,0,1,0,0,0,2,0,0,0,34012
Ambystoma#N57,88898,5,43,83,2,222,4,30,8,20,11,20,118,14,7,710,531,401,0,3,5,16863,4,0,45,23,6,4,0,8,0,9,1,1,19,167,4,17,6,41,50,1,64602,1099,1,111,25,5,6,2,4,230,2,6,3,28,20,13,0,12,143,1,1358,96431,1,100,5,5,167,8,3,45,10,251,26,17,25,60,2,1,7,34,1,0,39591,2,7,54,0,312,5,1,2,2,1,34,5,43,2,272,286,34,67,96,5,55426,5,2,8,6,3,35,7,7,64,241,25,68,4,0,6,7,25,4,10,0,30626,2,10,39,1,155,39,234,99,15,8,2,0,114,22,5,1,1,55,1,2,73142,7,454,199,20,3,6,2,30,103,1115,2,5,21,1,17,119,2,8,11,19,89210,10,29,221,10,246,856,37,147,9,0,0,30,7,3,7,313,6,38,510,4,115604,458,8,63,90,50,69,30,436,19,16,16,2,1,2,2,2,1,214,20,375,32191,2,0,4,11,7,76,124,1,2,11,5,181,19,2,31,129,37,156,5,5,52602,5,21,12,466,158,7,0,18,208,3,3,4,2,7,50,4,5,110,3,5,54823,110,29,335,129,16,1,0,19,3,16,247,1,9,348,3,230,121,18,23,161,61868,204,23,17,7,1,3,9,34,2,14,0,46,108,9,657,32,14,17,11,202,61551,88,31,1,13,4,591,165,26,11,38,245,25,48,34,95,3,442,213,16,67,112788,725,34,3,23,502,6,7,7,0,11,6,183,67,26,78,152,66,13,20,680,73230,65,0,3,356,8,10,22,36,40,1,1098,4,433,161,2,5,8,5,27,57,91578,4,2,1,10,0,0,7,5,1,0,1,13,2,0,0,2,12,3,0,0,5704,6,1,44,7,0,355,5,131,13,2,27,2,23,1,1,5,20,4,4,1,32983
Amia_calva#N5,89212,13,49,46,4,196,1,19,5,27,17,18,112,10,9,503,452,366,1,0,5,15897,1,0,25,28,7,5,0,13,0,7,0,0,17,140,13,8,4,16,34,0,61973,830,2,51,26,1,9,1,0,165,1,15,2,25,7,7,0,4,98,0,1102,97371,1,77,4,4,81,6,7,15,14,275,17,3,14,47,0,1,3,25,1,0,37330,2,11,52,0,242,8,1,2,0,0,22,1,36,3,258,240,12,62,64,2,55612,6,2,12,4,1,37,6,9,50,220,26,32,3,1,3,7,17,4,9,4,28086,2,2,27,0,82,30,153,75,19,3,2,0,103,21,0,0,1,30,2,0,66253,5,370,138,8,1,1,5,16,65,933,0,4,21,0,9,64,1,12,13,13,85579,5,34,112,10,185,920,39,86,6,2,0,19,10,2,7,177,2,27,300,7,114533,379,2,36,80,27,25,21,403,6,10,10,2,0,2,1,3,2,136,19,343,29619,1,1,5,8,9,51,84,2,0,18,6,131,15,2,33,111,18,86,2,3,47622,2,22,14,429,105,4,0,10,165,2,7,7,2,5,30,4,7,69,4,5,55345,46,23,169,77,10,0,0,14,2,18,191,0,9,247,6,151,108,17,16,103,61338,207,21,20,6,1,5,6,25,2,8,2,24,102,3,507,28,10,7,10,160,64048,56,30,5,7,1,466,128,14,18,18,217,17,24,17,48,8,289,122,14,61,110308,484,21,3,16,357,10,7,6,0,13,6,103,42,19,80,94,44,5,20,616,69443,63,1,1,253,1,6,24,27,22,2,802,2,356,143,6,4,7,1,12,56,92195,0,2,0,9,0,0,6,0,0,1,2,14,3,0,1,1,11,6,1,2,5508,8,1,29,2,2,354,1,81,3,1,13,1,20,1,1,1,18,3,5,5,31863
Anas_platy#N73,96599,8,38,57,9,106,3,10,10,17,10,8,84,8,5,304,432,296,0,2,9,17446,0,1,19,18,10,3,1,9,0,5,3,1,33,79,6,6,10,25,31,3,61910,474,0,52,26,4,4,1,0,155,1,9,4,19,5,10,1,8,53,0,496,98546,1,71,6,3,128,3,1,13,5,153,20,17,6,21,1,1,1,16,1,0,39394,1,7,28,1,196,4,1,5,1,1,34,2,25,4,101,136,10,58,61,1,57022,5,3,6,2,0,6,5,8,50,183,9,32,3,1,3,10,11,5,5,4,30356,1,11,27,1,58,19,132,133,8,4,3,0,70,24,2,1,3,17,1,2,72113,5,211,121,8,2,0,4,12,96,824,0,2,7,1,6,105,2,7,3,12,88525,2,18,99,8,158,486,27,52,8,0,5,22,10,0,2,165,7,18,193,5,118370,176,0,45,42,29,67,19,287,7,3,20,2,0,2,8,3,0,125,15,170,30727,3,3,11,12,10,100,138,1,1,14,2,130,8,2,18,66,17,81,5,1,51776,5,4,9,389,87,1,0,5,93,6,1,3,3,2,24,1,4,69,0,2,57177,32,18,158,66,4,1,3,3,1,4,175,2,5,152,0,115,63,2,8,62,62791,247,12,8,1,0,3,9,24,2,3,2,39,94,4,358,20,9,10,12,122,64963,47,23,4,11,3,356,80,12,7,24,187,9,16,13,69,3,320,208,11,68,111447,333,15,2,19,423,4,5,10,3,11,3,113,27,13,112,60,52,13,17,317,72595,42,0,0,285,4,5,23,27,22,1,581,3,196,138,7,6,2,3,9,49,93434,2,0,0,9,0,1,7,9,0,0,1,10,2,0,0,4,21,4,1,1,5857,3,5,47,0,1,104,2,94,2,2,4,1,20,1,4,3,14,1,0,1,33589
Andrias_da#N36,88637,1,30,46,4,116,3,12,3,6,8,4,68,6,0,331,314,242,0,0,3,16754,0,0,18,14,2,2,0,3,0,0,1,0,13,70,4,1,4,17,32,6,64532,468,1,59,20,2,3,2,0,125,0,2,1,13,6,17,0,12,82,0,587,96537,0,61,4,0,105,4,1,5,3,148,8,9,8,39,0,1,0,12,0,0,39596,0,3,25,0,143,0,1,0,0,0,15,1,32,2,102,149,18,44,64,0,55618,1,4,6,2,1,8,1,6,30,161,13,35,2,1,0,4,7,1,3,0,30607,3,2,18,0,48,14,100,73,4,2,0,1,80,5,0,0,2,32,0,0,73063,4,201,103,11,0,2,1,11,54,563,0,0,9,1,4,55,0,4,6,9,88877,1,16,127,8,151,382,14,79,4,2,0,11,1,0,0,140,3,23,197,0,115568,173,1,29,47,31,29,0,225,4,3,5,0,0,2,4,1,0,112,10,179,32162,0,0,6,11,3,36,86,0,0,6,6,94,4,2,11,86,17,83,3,1,52368,5,11,8,280,83,1,0,20,96,0,1,4,1,2,26,6,2,74,1,1,54723,49,19,135,64,3,0,3,9,2,3,107,0,6,182,0,114,64,3,7,88,61798,126,8,7,7,2,3,2,38,1,3,1,25,82,5,251,20,12,4,7,143,61804,61,13,2,18,2,284,86,11,5,29,137,14,28,7,62,3,189,94,1,49,112516,310,8,2,17,321,0,4,3,0,5,0,87,33,11,91,60,40,0,18,265,73191,25,0,2,204,1,7,10,14,17,0,501,3,182,113,3,3,3,4,4,19,91586,0,0,1,8,0,0,4,3,0,0,0,10,0,0,0,1,3,3,0,0,5685,3,0,27,2,0,129,0,78,1,1,5,0,8,1,2,2,11,0,2,4,32957
Anolis_car#N97,93395,9,57,113,4,269,1,41,12,25,13,21,186,8,8,729,841,557,0,2,11,17194,3,0,30,36,18,2,0,13,0,8,0,1,42,171,6,13,3,67,42,3,61862,1020,0,129,32,5,11,0,1,305,5,18,4,42,5,11,2,15,140,1,1218,98523,2,142,12,3,226,11,3,16,11,269,23,17,24,50,1,2,8,22,1,3,40000,0,5,48,1,341,8,0,2,1,2,60,5,62,0,201,258,24,121,160,0,56468,3,4,17,8,1,37,4,7,91,320,14,73,4,0,2,20,16,7,5,0,30983,1,7,46,0,90,50,255,185,19,5,4,0,137,24,1,2,1,56,3,1,74541,4,480,233,17,2,0,8,17,164,1489,0,1,23,1,13,156,1,22,12,19,89835,4,44,186,9,281,967,34,134,4,2,1,37,9,0,5,444,3,44,419,4,119049,350,1,112,79,59,106,13,474,23,6,26,0,1,2,6,3,0,239,11,352,31059,4,1,8,16,8,118,193,2,0,17,6,259,19,1,42,146,25,146,0,5,53271,0,7,21,696,134,3,0,16,242,2,5,6,7,5,34,9,7,165,1,3,57083,76,22,438,105,15,0,6,11,1,11,294,1,13,340,0,227,114,4,18,196,62686,309,10,8,5,3,7,9,43,2,11,2,53,128,5,793,33,14,19,20,294,62294,70,24,3,13,8,552,147,25,13,60,400,19,27,28,107,3,681,378,8,82,111072,606,14,3,26,816,7,10,7,3,23,3,272,58,15,122,102,76,5,40,749,72991,78,3,3,579,7,12,23,42,47,1,1515,7,479,231,2,11,5,5,18,72,91420,2,2,2,11,1,1,4,8,2,0,0,17,1,1,0,9,17,2,1,2,6051,3,7,74,5,2,425,2,180,1,0,9,0,24,1,1,5,40,1,3,2,33795
Atelopus_z#N75,83410,2,15,30,3,85,0,7,3,10,6,8,38,1,1,261,273,203,0,0,1,16631,1,0,13,6,0,0,0,1,0,1,0,0,7,62,3,4,6,16,27,1,63828,381,0,42,21,0,4,0,0,117,0,4,2,12,1,8,0,11,48,1,403,94669,0,69,2,0,69,2,1,10,1,110,2,4,5,32,0,0,0,7,0,0,38347,0,4,22,0,128,2,1,1,0,0,15,1,12,0,104,94,12,34,42,2,53057,0,2,3,0,0,5,0,1,25,97,5,23,4,0,1,5,9,3,3,1,29525,1,0,15,0,43,11,89,52,6,1,1,0,62,7,0,0,1,19,1,0,73913,5,190,95,6,0,1,2,4,70,515,0,2,4,0,5,49,0,4,4,10,88643,3,28,91,0,69,406,17,67,3,0,2,5,3,0,0,125,0,11,144,3,113722,131,0,18,32,17,19,5,176,6,2,1,1,0,2,2,0,0,105,5,116,30381,1,1,2,3,3,23,73,0,0,4,2,88,6,1,11,58,20,44,2,0,52915,0,5,2,259,52,0,0,11,75,1,0,3,0,1,8,3,2,57,1,0,53161,33,6,144,51,7,0,0,1,1,3,77,0,4,122,2,58,75,3,4,50,60878,79,6,4,0,1,3,1,24,0,8,1,20,74,7,211,26,8,3,7,76,60124,34,13,2,4,1,199,88,6,4,20,113,8,16,4,35,0,138,68,5,35,113063,208,6,0,6,290,2,1,1,0,6,1,100,29,9,49,39,25,3,11,287,71085,20,0,1,181,0,2,15,16,13,0,494,3,155,87,0,4,1,1,7,20,89506,1,1,0,2,0,0,1,1,0,0,0,6,0,0,0,1,3,0,0,0,5587,1,0,32,2,0,93,0,50,0,1,4,0,7,1,3,0,5,0,0,1,33677
Basiliscus#N96,93355,0,12,30,3,100,1,10,7,9,6,2,34,3,1,191,363,269,0,0,2,17205,0,0,10,15,4,0,0,3,0,4,0,0,24,60,2,1,4,37,15,1,61825,329,1,69,15,0,3,0,0,156,1,4,0,10,2,3,0,2,82,0,407,98502,0,99,1,3,97,0,2,9,0,93,5,6,3,23,1,1,2,23,0,0,39965,1,0,12,0,107,1,0,2,0,0,22,2,24,2,30,79,13,39,46,1,56399,3,3,9,1,0,3,2,2,44,146,5,22,3,0,0,9,11,0,1,1,30969,0,0,20,0,31,24,83,90,7,4,0,0,69,10,1,0,1,19,0,0,74510,4,156,98,5,1,1,2,8,108,756,0,1,7,0,1,104,1,7,1,10,89813,3,12,85,0,95,398,6,62,3,1,0,11,3,0,0,160,2,20,114,2,119000,98,0,45,40,30,38,5,235,13,1,6,0,1,0,1,0,0,108,4,108,31002,1,1,2,9,2,63,136,0,0,7,5,102,3,1,8,57,9,64,0,2,53237,0,3,7,399,58,2,0,9,97,1,3,2,2,2,12,3,2,76,0,2,57108,31,16,178,35,4,0,1,1,1,2,93,2,2,129,1,62,51,1,1,59,62762,165,6,3,1,2,2,3,35,1,7,1,31,82,3,237,12,5,2,8,113,62234,27,13,2,13,3,204,60,6,1,33,188,8,15,6,60,2,219,128,5,58,110982,229,8,4,8,381,1,1,3,0,6,1,112,18,7,71,37,28,1,11,204,72938,31,0,0,239,1,1,9,9,24,0,558,2,147,128,0,5,1,1,0,11,91463,0,3,1,5,0,0,0,1,1,0,0,6,0,0,0,1,3,3,0,0,6043,0,1,66,4,0,84,0,76,1,0,1,0,5,1,1,1,21,2,1,0,33809
Boa_constr#N84,91668,3,32,28,2,70,0,4,2,6,6,1,43,2,2,178,432,336,0,0,0,17626,0,0,13,21,6,1,0,2,0,0,1,1,40,62,0,1,6,34,17,1,61055,301,0,101,18,0,1,0,0,177,2,2,0,13,2,15,0,7,59,1,344,97836,0,139,3,0,119,5,3,2,1,99,7,8,4,29,0,0,0,15,0,0,41089,0,0,18,0,181,0,0,0,1,0,31,1,34,0,44,68,14,42,58,0,55474,1,2,4,2,1,6,0,8,59,138,0,23,3,1,0,9,11,0,2,3,31316,0,2,27,1,27,24,98,163,3,2,0,0,68,12,0,0,0,18,2,0,77643,1,140,110,11,2,0,5,10,126,927,0,0,4,0,1,116,0,7,2,6,90328,0,16,81,0,92,536,11,61,1,1,1,7,2,0,1,166,1,17,113,2,119887,96,0,78,33,31,71,7,210,10,0,11,0,0,1,1,1,0,111,7,118,30921,0,1,2,7,1,103,183,1,0,1,2,145,8,0,10,62,22,60,0,0,54634,2,0,8,471,61,3,0,12,67,3,0,1,2,1,9,0,2,93,0,0,55720,15,15,184,30,5,0,0,6,0,2,114,0,3,138,3,86,43,1,1,65,63343,243,4,1,1,3,2,3,66,2,6,1,31,138,3,215,11,7,8,8,206,60865,39,15,3,28,2,178,75,2,3,46,195,11,16,9,67,0,234,182,2,64,111608,196,3,2,15,513,0,0,4,1,5,1,137,27,6,117,29,30,3,24,250,72816,32,0,2,338,3,10,19,16,37,0,647,1,155,126,0,3,0,4,4,23,89827,0,0,0,7,0,0,3,3,0,0,0,9,1,0,0,1,20,3,0,0,6113,2,0,79,7,1,97,1,122,1,0,3,0,11,1,1,3,17,0,1,1,33791
